UID,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,TWF,HDF,PWF,OSF,RNF,anomaly,anomaly_score
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,1,0.08375235524660152
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,1,0.0752981321081142
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,1,0.07914997850926153
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,1,0.08138311013847999
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,1,0.10429243539551358
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,1,0.09166651343866483
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,1,0.025443800939353278
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,1,0.09645465392928387
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,1,0.06912856987455918
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,1,0.08600501935087512
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,-1,-0.11606845270408639
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,1,0.06004245704005717
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,1,0.10803496990365824
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,1,0.10075378584524464
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,1,0.06937099645581246
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,1,0.10928107883872135
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,1,0.11565413370680011
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,1,0.10853879799734117
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,1,0.06838387262119472
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,1,0.06350120866474873
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,1,0.07625418205234491
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,1,0.1004431067525271
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,1,0.027998575414604154
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,1,0.03633679318620697
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,1,0.10648426372042369
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,1,0.08972867656960776
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,1,0.06575654964637012
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,1,0.10633863469975768
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,1,0.08453917686478385
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,1,0.014262241183909286
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,1,0.0021222087778810517
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,1,0.10592811728251794
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,1,0.08688078783689562
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,1,0.09309000835872572
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,1,0.08441781107726493
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,1,0.08782559258024941
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,1,0.10324853549248186
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,1,0.10752086077818607
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,1,0.07899904182230577
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,1,0.08759368229063447
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,1,0.09366687949770447
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,1,0.0989427840656068
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,1,0.10114946617537007
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,1,0.10802432625503389
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,1,0.09377070279193883
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,1,0.03744656513956146
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,1,0.10189926065334332
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,1,0.07578599864846991
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,1,0.09907368331731836
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,1,0.10787364375835468
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,1,0.042197349785524474
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,1,0.033102525170809805
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,1,0.057950779675093544
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,1,0.10141442880814583
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,1,0.08098311695225646
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,1,0.05813268125755233
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,1,0.09622001269227726
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,1,0.05567162169681594
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,1,0.08712348676106518
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,1,0.10420765257015996
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,1,0.017790472180901462
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,-1,-0.015226774086995243
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,1,0.10115969968888266
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,1,0.10689400672965699
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,1,0.1103824364356909
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,1,0.09291134374227211
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,1,0.1022354363546143
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,1,0.10111730035082422
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,1,0.09018608992079602
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,1,0.09054649400967185
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,1,0.011873537337483309
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,1,0.11325348013954484
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,1,0.11117334944022456
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,1,0.11313986171931106
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,1,0.07405544879220316
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,1,0.10835744686830151
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,1,0.09111386078612649
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,1,0.09272445519844302
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,1,0.06987339037659501
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,1,0.11397908081609881
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,1,0.10708873136187763
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,1,0.10081517066661771
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,1,0.05465668581483074
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,1,0.1027976703775923
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,1,0.06620040273739947
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,1,0.08865150779128789
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,1,0.011414668938806272
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,1,0.09891664054658744
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,1,0.09764000325735894
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,1,0.09249633633704857
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,1,0.11095348019427081
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,1,0.05634819925841639
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,1,0.10955959775449642
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,1,0.09844370660069124
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,1,0.06712968603119884
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,1,0.06508139479019559
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,1,0.10607060634042825
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,1,0.038871472837961885
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,1,0.0956705829299801
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,1,0.028781115351659725
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,1,0.10574089661943303
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,1,0.10959738095018318
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,1,0.057327677389448994
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,1,0.09805943824605728
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,1,0.10271485058632274
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,1,0.09106946985495418
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,1,0.10026228686211902
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,1,0.11388668122770768
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,1,0.0994541878693283
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,1,0.12128133742951747
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,1,0.11282454167880135
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,1,0.11004597799879479
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,1,0.10195788334677919
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,1,0.02577820564389688
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,1,0.10831198688616833
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,-1,-0.023084983219312183
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,1,0.10520039354140615
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,1,0.11929902021154287
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,1,0.10983201641809631
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,1,0.111506081715538
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,1,0.010039980707403084
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,1,0.08586652108876752
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,1,0.10003654827512831
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,1,0.11602366088979688
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,1,0.11517389101893133
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,1,0.05879127076717505
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,1,0.0983527149041083
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,1,0.11990363914121072
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,1,0.03904337533671487
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,1,0.03260206093134144
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,1,0.1016036294801888
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,1,0.09324902485045727
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,-1,-0.009328066687683934
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,1,0.09173083105601043
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,1,0.03310976720073344
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,1,0.10105512489795332
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,1,0.09860874742638531
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,-1,-0.012334615669966298
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,1,0.09704638834443746
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,1,0.07169894183583325
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,1,0.09704959088631787
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,1,0.04919478062493676
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,1,0.08531205887626897
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,1,0.11918410378120398
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,1,0.08721909981765769
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,1,0.11272966130413331
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,1,0.04185560175236047
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,1,0.10635702402971103
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,1,0.1038026724743783
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,1,0.1162483478041812
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,1,0.0960862501478883
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,1,0.10078764645035193
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,1,0.08978201662025614
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,1,0.09930874865752942
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,-1,-0.10134041199087884
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,1,0.12587221582403857
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,1,0.111410006887468
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,1,0.12103194972091158
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,1,0.11357000540108503
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,1,0.11846074551395963
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,1,0.10827886750760274
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,1,0.11479370902565456
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,1,0.1014233474468682
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,1,0.1241841162111127
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,1,0.07584320419904444
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,1,0.06657753226161423
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,1,0.10671626071432844
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,1,0.048135061754884134
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,1,0.11734541007091015
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,1,0.12491673520967495
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,1,0.11810502556408486
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,1,0.10285857473259913
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,1,0.07208034169883049
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,1,0.10954164742463435
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,1,0.11754841397018917
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,1,0.11638166248849491
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,1,0.12483343636117994
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,1,0.09879286769067847
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,1,0.12199099157789961
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,1,0.12342804760449716
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,1,0.08899043141180463
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,1,0.050393823455502806
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,1,0.08989219141683918
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,1,0.11152938727364109
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,1,0.09959552006409911
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,1,0.08166961513202864
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,1,0.08819452847345993
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,1,0.12015407019459717
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,1,0.11307188506699667
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,1,0.10654204912002507
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,1,0.11841237060351317
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,1,0.12374694796796509
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,1,0.121475654087836
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,1,0.11532541087471987
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,1,0.13199216208276882
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,1,0.1012792483001938
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,1,0.12656978908749789
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,1,0.11308530080709978
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,1,0.09873817709817145
240,L47419,L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,1,0.0952926563890788
241,M15100,M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,1,0.07991203723139284
242,L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,1,0.04051307181302355
243,L47422,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,1,0.04389784302881694
244,L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,1,0.12263080123450659
245,M15104,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,1,0.10113892155130805
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,1,0.0948708934517366
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,1,0.09675968475626101
248,L47427,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,1,0.12059196476692241
249,L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,1,0.06425914305565872
250,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,1,0.07575527362581236
251,L47430,L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,1,0.10310838883307377
252,M15111,M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,1,0.12355425770773548
253,L47432,L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,1,0.1046951402065015
254,L47433,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,1,0.09429054009727328
255,L47434,L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,1,0.11717866751689526
256,L47435,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,1,0.12201931591757759
257,L47436,L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0,1,0.022047191029620383
258,L47437,L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0,1,0.08430789977498077
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,1,0.12474890974768049
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,1,0.031223214677982947
261,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,1,0.09389348479560922
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,1,0.1009082996819905
263,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,1,0.06617862409152309
264,M15123,M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0,1,0.09607904220695729
265,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,1,0.10869551262127874
266,L47445,L,298.0,308.1,1454,37.1,35,0,0,0,0,0,0,1,0.11374808217555277
267,H29680,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,1,0.11834892096518812
268,L47447,L,297.9,308.0,1954,21.1,42,0,0,0,0,0,0,1,0.0027373148555571714
269,H29682,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,1,0.044263818900505014
270,L47449,L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0,1,0.11203373708030828
271,H29684,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,1,0.11000194544172953
272,M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,1,0.11716996629454968
273,L47452,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,1,0.12093434760912758
274,L47453,L,298.1,308.0,1426,46.0,61,0,0,0,0,0,0,1,0.11386025728513383
275,L47454,L,298.1,308.0,1652,28.5,63,0,0,0,0,0,0,1,0.08239835031799053
276,L47455,L,298.0,308.0,1401,54.7,65,0,0,0,0,0,0,1,0.07969438188588063
277,M15136,M,298.0,307.9,1750,26.6,67,0,0,0,0,0,0,1,0.054270493626133565
278,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,1,0.09290940802743297
279,M15138,M,298.0,308.0,1620,29.4,75,0,0,0,0,0,0,1,0.08446800495045453
280,L47459,L,298.0,308.1,1819,23.4,78,0,0,0,0,0,0,1,0.03495383198204649
281,M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,1,0.12004594643221467
282,L47461,L,298.1,308.0,1626,36.5,83,0,0,0,0,0,0,1,0.10201105163415469
283,M15142,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,1,0.0959895843106835
284,L47463,L,298.2,308.2,1469,43.0,88,0,0,0,0,0,0,1,0.1254243340041688
285,L47464,L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,-1,-0.013308792790853063
286,L47465,L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0,1,0.11759208543017252
287,L47466,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,1,0.10797102920257728
288,L47467,L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,1,0.07096549283236564
